season,leagueName,teamName,total_games,won,drawn,lost,ht_won,ht_drawn,ht_lost,ht_ft_won,GF,GA,GD,points_per_game,GF_per_game,xG_per_game,GF_to_xG_per_game,GA_per_game,GD_per_game,shots_per_game,shotsOnTarget_per_game,corners_per_game,win_ratio,drawn_ratio,loss_ratio,ht_win_ratio,ht_drawn_ratio,ht_lost_ratio,ht_ft_win_ratio
2020,"Premier League","Wolverhampton Wanderers",38,12,9,17,6,18,14,3,36,52,-16,1.18,0.95,1.02,0.93,1.37,-0.4211,12.21,4.08,5.50,0.3158,0.2368,0.4474,0.16,0.47,0.37,0.08
2015,"Serie A",Atalanta,38,11,12,15,7,24,7,7,41,47,-6,1.18,1.08,1.21,0.89,1.24,-0.1579,11.95,3.61,5.00,0.2895,0.3158,0.3947,0.18,0.63,0.18,0.18
2015,"Serie A",Torino,38,12,9,17,9,16,13,6,52,55,-3,1.18,1.37,1.3,1.05,1.45,-0.0789,12.37,4.61,4.76,0.3158,0.2368,0.4474,0.24,0.42,0.34,0.16
2016,"Serie A",Udinese,38,12,9,17,11,17,10,6,47,56,-9,1.18,1.24,1.18,1.05,1.47,-0.2368,11.42,4.11,4.71,0.3158,0.2368,0.4474,0.29,0.45,0.26,0.16
2019,"Serie A",Udinese,38,12,9,17,11,19,8,7,37,51,-14,1.18,0.97,1.15,0.85,1.34,-0.3684,12.32,3.76,5.26,0.3158,0.2368,0.4474,0.29,0.50,0.21,0.18
2019,"Serie A",Cagliari,38,11,12,15,11,12,15,6,52,56,-4,1.18,1.37,1.1,1.24,1.47,-0.1053,11.68,3.74,4.05,0.2895,0.3158,0.3947,0.29,0.32,0.39,0.16
2015,Bundesliga,Ingolstadt,34,10,10,14,7,19,8,3,33,42,-9,1.18,0.97,1.21,0.8,1.24,-0.2647,12.53,3.82,4.21,0.2941,0.2941,0.4118,0.21,0.56,0.24,0.09
2014,Bundesliga,"FC Cologne",34,9,13,12,6,21,7,5,34,40,-6,1.18,1.00,0.95,1.06,1.18,-0.1765,10.79,3.74,4.18,0.2647,0.3824,0.3529,0.18,0.62,0.21,0.15
2014,Bundesliga,"Mainz 05",34,9,13,12,10,15,9,6,45,47,-2,1.18,1.32,1.29,1.02,1.38,-0.0588,12.91,4.29,4.35,0.2647,0.3824,0.3529,0.29,0.44,0.26,0.18
2015,"La Liga","Real Betis",38,11,12,15,9,17,12,4,34,52,-18,1.18,0.89,1.06,0.85,1.37,-0.4737,10.45,3.32,4.32,0.2895,0.3158,0.3947,0.24,0.45,0.32,0.11
2016,"La Liga","Celta Vigo",38,13,6,19,8,21,9,7,53,69,-16,1.18,1.39,1.07,1.31,1.82,-0.4211,10.63,3.92,3.37,0.3421,0.1579,0.5000,0.21,0.55,0.24,0.18
2018,"La Liga",Leganes,38,11,12,15,10,16,12,7,37,43,-6,1.18,0.97,1.09,0.9,1.13,-0.1579,11.05,3.50,3.66,0.2895,0.3158,0.3947,0.26,0.42,0.32,0.18
2014,"Ligue 1",Nantes,38,11,12,15,8,19,11,6,29,40,-11,1.18,0.76,0.95,0.8,1.05,-0.2895,11.16,3.58,4.45,0.2895,0.3158,0.3947,0.21,0.50,0.29,0.16
2017,"Ligue 1",Amiens,38,12,9,17,12,15,11,8,37,42,-5,1.18,0.97,0.83,1.18,1.11,-0.1316,9.47,2.66,3.68,0.3158,0.2368,0.4474,0.32,0.39,0.29,0.21
2020,"Ligue 1",Bordeaux,38,13,6,19,10,15,13,9,42,56,-14,1.18,1.11,1.15,0.96,1.47,-0.3684,11.05,3.74,4.58,0.3421,0.1579,0.5000,0.26,0.39,0.34,0.24
2018,"La Liga",Levante,38,11,11,16,15,11,12,9,59,66,-7,1.16,1.55,1.42,1.09,1.74,-0.1842,11.58,4.18,5.32,0.2895,0.2895,0.4211,0.39,0.29,0.32,0.24
2018,"La Liga",Villarreal,38,10,14,14,6,22,10,2,49,52,-3,1.16,1.29,1.44,0.89,1.37,-0.0789,13.00,4.61,4.42,0.2632,0.3684,0.3684,0.16,0.58,0.26,0.05
2020,"La Liga",Cadiz,38,11,11,16,9,13,16,7,36,58,-22,1.16,0.95,0.97,0.98,1.53,-0.5789,7.97,2.68,3.92,0.2895,0.2895,0.4211,0.24,0.34,0.42,0.18
2020,"La Liga",Osasuna,38,11,11,16,10,20,8,6,37,48,-11,1.16,0.97,1.04,0.93,1.26,-0.2895,9.84,3.24,3.08,0.2895,0.2895,0.4211,0.26,0.53,0.21,0.16
2015,"Ligue 1",Guingamp,38,11,11,16,8,22,8,4,47,56,-9,1.16,1.24,1.09,1.14,1.47,-0.2368,10.50,3.55,4.63,0.2895,0.2895,0.4211,0.21,0.58,0.21,0.11
2016,"Ligue 1",Toulouse,38,10,14,14,9,19,10,5,37,41,-4,1.16,0.97,1.08,0.9,1.08,-0.1053,10.03,3.47,4.03,0.2632,0.3684,0.3684,0.24,0.50,0.26,0.13
2014,"Ligue 1",Reims,38,12,8,18,10,15,13,6,47,66,-19,1.16,1.24,1.14,1.08,1.74,-0.5000,11.58,3.63,4.74,0.3158,0.2105,0.4737,0.26,0.39,0.34,0.16
2020,"Ligue 1",Angers,38,12,8,18,10,14,14,8,40,58,-18,1.16,1.05,1.05,1,1.53,-0.4737,10.55,3.76,4.42,0.3158,0.2105,0.4737,0.26,0.37,0.37,0.21
2016,"Premier League",Leicester,38,12,8,18,11,11,16,10,48,63,-15,1.16,1.26,1.17,1.08,1.66,-0.3947,11.39,3.82,5.18,0.3158,0.2105,0.4737,0.29,0.29,0.42,0.26
2016,"Premier League",Stoke,38,11,11,16,12,14,12,8,41,56,-15,1.16,1.08,1.26,0.86,1.47,-0.3947,11.18,3.61,4.95,0.2895,0.2895,0.4211,0.32,0.37,0.32,0.21
2014,"Premier League","West Bromwich Albion",38,11,11,16,8,16,14,5,38,51,-13,1.16,1.00,1.02,0.98,1.34,-0.3421,10.82,3.47,4.50,0.2895,0.2895,0.4211,0.21,0.42,0.37,0.13
2017,"Premier League",Bournemouth,38,11,11,16,6,20,12,4,45,61,-16,1.16,1.18,1.05,1.13,1.61,-0.4211,12.24,4.18,5.74,0.2895,0.2895,0.4211,0.16,0.53,0.32,0.11
2017,"Premier League","Crystal Palace",38,11,11,16,8,16,14,6,45,55,-10,1.16,1.18,1.49,0.79,1.45,-0.2632,12.47,3.95,5.50,0.2895,0.2895,0.4211,0.21,0.42,0.37,0.16
2017,"Premier League","Newcastle United",38,12,8,18,8,19,11,5,39,47,-8,1.16,1.03,1.17,0.87,1.24,-0.2105,11.87,3.92,4.39,0.3158,0.2105,0.4737,0.21,0.50,0.29,0.13
2019,"Premier League","Newcastle United",38,11,11,16,6,21,11,4,38,58,-20,1.16,1.00,0.96,1.04,1.53,-0.5263,10.47,3.50,3.97,0.2895,0.2895,0.4211,0.16,0.55,0.29,0.11
2020,"Premier League","Crystal Palace",38,12,8,18,12,12,14,9,41,66,-25,1.16,1.08,0.93,1.16,1.74,-0.6579,9.18,3.45,3.97,0.3158,0.2105,0.4737,0.32,0.32,0.37,0.24
2018,"Serie A",Bologna,38,11,11,16,7,20,11,5,48,56,-8,1.16,1.26,1.27,1,1.47,-0.2105,13.11,4.34,5.45,0.2895,0.2895,0.4211,0.18,0.53,0.29,0.13
2015,"La Liga","Las Palmas",38,12,8,18,9,12,17,8,45,53,-8,1.16,1.18,1.02,1.16,1.39,-0.2105,11.03,4.29,3.95,0.3158,0.2105,0.4737,0.24,0.32,0.45,0.21
2015,"La Liga",Valencia,38,11,11,16,8,23,7,6,46,48,-2,1.16,1.21,1.33,0.91,1.26,-0.0526,10.50,3.61,4.87,0.2895,0.2895,0.4211,0.21,0.61,0.18,0.16
2017,Bundesliga,"Hannover 96",34,10,9,15,6,18,10,4,44,54,-10,1.15,1.29,1.21,1.07,1.59,-0.2941,12.79,4.29,3.94,0.2941,0.2647,0.4412,0.18,0.53,0.29,0.12
2019,Bundesliga,"Schalke 04",34,9,12,13,7,16,11,4,38,58,-20,1.15,1.12,1.06,1.06,1.71,-0.5882,11.29,3.79,4.47,0.2647,0.3529,0.3824,0.21,0.47,0.32,0.12
2020,Bundesliga,"Mainz 05",34,10,9,15,11,14,9,6,39,56,-17,1.15,1.15,1.43,0.8,1.65,-0.5000,11.12,4.09,3.82,0.2941,0.2647,0.4412,0.32,0.41,0.26,0.18
2015,"Premier League","West Bromwich Albion",38,10,13,15,8,19,11,5,34,48,-14,1.13,0.89,1.05,0.86,1.26,-0.3684,10.24,2.79,4.95,0.2632,0.3421,0.3947,0.21,0.50,0.29,0.13
2019,"Premier League","Crystal Palace",38,11,10,17,7,18,13,6,31,50,-19,1.13,0.82,0.91,0.9,1.32,-0.5000,9.89,3.16,4.66,0.2895,0.2632,0.4474,0.18,0.47,0.34,0.16
2020,"Premier League",Southampton,38,12,7,19,14,11,13,9,47,68,-21,1.13,1.24,1.19,1.04,1.79,-0.5526,11.13,4.42,4.68,0.3158,0.1842,0.5000,0.37,0.29,0.34,0.24
2016,"Serie A",Chievo,38,12,7,19,7,18,13,5,43,61,-18,1.13,1.13,1.12,1.01,1.61,-0.4737,10.76,3.39,3.87,0.3158,0.1842,0.5000,0.18,0.47,0.34,0.13
2014,"Serie A",Chievo,38,10,13,15,7,21,10,4,28,41,-13,1.13,0.74,0.87,0.85,1.08,-0.3421,12.05,3.63,4.34,0.2632,0.3421,0.3947,0.18,0.55,0.26,0.11
2017,"Serie A",Sassuolo,38,11,10,17,6,18,14,5,29,59,-30,1.13,0.76,1.24,0.62,1.55,-0.7895,13.05,3.79,5.16,0.2895,0.2632,0.4474,0.16,0.47,0.37,0.13
2018,"Serie A",Udinese,38,11,10,17,8,17,13,6,39,53,-14,1.13,1.03,1.12,0.92,1.39,-0.3684,12.18,3.42,4.32,0.2895,0.2632,0.4474,0.21,0.45,0.34,0.16
2018,"Serie A",Sassuolo,38,9,16,13,10,17,11,7,53,60,-7,1.13,1.39,1.31,1.07,1.58,-0.1842,13.45,4.13,4.87,0.2368,0.4211,0.3421,0.26,0.45,0.29,0.18
2020,"Serie A",Verona,38,10,13,15,8,21,9,4,43,48,-5,1.13,1.13,1.26,0.9,1.26,-0.1316,10.61,3.34,4.87,0.2632,0.3421,0.3947,0.21,0.55,0.24,0.11
2015,"La Liga",Espanyol,38,12,7,19,8,13,17,6,40,74,-34,1.13,1.05,1.21,0.87,1.95,-0.8947,10.32,3.87,4.71,0.3158,0.1842,0.5000,0.21,0.34,0.45,0.16
2015,"La Liga",Eibar,38,11,10,17,14,10,14,8,49,61,-12,1.13,1.29,1.39,0.93,1.61,-0.3158,11.03,4.03,4.55,0.2895,0.2632,0.4474,0.37,0.26,0.37,0.21
2017,"La Liga",Leganes,38,12,7,19,4,19,15,4,34,51,-17,1.13,0.89,1.03,0.87,1.34,-0.4474,10.39,3.45,4.00,0.3158,0.1842,0.5000,0.11,0.50,0.39,0.11
2017,"La Liga","Athletic Club",38,10,13,15,10,15,13,9,41,49,-8,1.13,1.08,1.36,0.79,1.29,-0.2105,11.34,4.08,5.00,0.2632,0.3421,0.3947,0.26,0.39,0.34,0.24
2020,"La Liga",Valencia,38,10,13,15,8,17,13,5,50,53,-3,1.13,1.32,1.1,1.19,1.39,-0.0789,10.39,3.71,4.29,0.2632,0.3421,0.3947,0.21,0.45,0.34,0.13
2016,"Ligue 1",Metz,38,11,10,17,9,14,15,6,39,72,-33,1.13,1.03,0.91,1.12,1.89,-0.8684,9.39,3.08,3.55,0.2895,0.2632,0.4474,0.24,0.37,0.39,0.16
2014,"Ligue 1",Lorient,38,12,7,19,7,19,12,6,44,50,-6,1.13,1.16,1.08,1.07,1.32,-0.1579,12.84,4.58,5.03,0.3158,0.1842,0.5000,0.18,0.50,0.32,0.16
2015,Bundesliga,Augsburg,34,9,11,14,10,16,8,6,42,52,-10,1.12,1.24,1.25,0.99,1.53,-0.2941,13.00,4.35,3.76,0.2647,0.3235,0.4118,0.29,0.47,0.24,0.18
2015,Bundesliga,"Werder Bremen",34,10,8,16,7,15,12,5,50,65,-15,1.12,1.47,1.47,1,1.91,-0.4412,13.44,4.47,4.35,0.2941,0.2353,0.4706,0.21,0.44,0.35,0.15
2015,Bundesliga,Darmstadt,34,9,11,14,13,12,9,5,38,53,-15,1.12,1.12,1.15,0.97,1.56,-0.4412,10.21,3.38,3.44,0.2647,0.3235,0.4118,0.38,0.35,0.26,0.15
2016,Bundesliga,Augsburg,34,9,11,14,4,20,10,2,35,51,-16,1.12,1.03,1,1.03,1.50,-0.4706,10.88,3.71,3.12,0.2647,0.3235,0.4118,0.12,0.59,0.29,0.06
2016,Bundesliga,"Hamburger SV",34,10,8,16,3,23,8,2,33,61,-28,1.12,0.97,0.94,1.03,1.79,-0.8235,10.59,3.32,4.59,0.2941,0.2353,0.4706,0.09,0.68,0.24,0.06
2015,"Premier League",Bournemouth,38,11,9,18,8,13,17,6,45,67,-22,1.11,1.18,1.02,1.16,1.76,-0.5789,12.21,3.74,5.82,0.2895,0.2368,0.4737,0.21,0.34,0.45,0.16
2015,"Premier League","Crystal Palace",38,11,9,18,5,22,11,4,39,51,-12,1.11,1.03,1.12,0.92,1.34,-0.3158,12.34,4.00,5.76,0.2895,0.2368,0.4737,0.13,0.58,0.29,0.11
2017,"Premier League","West Ham",38,10,12,16,9,16,13,6,48,68,-20,1.11,1.26,0.97,1.3,1.79,-0.5263,9.79,3.50,4.24,0.2632,0.3158,0.4211,0.24,0.42,0.34,0.16
2015,"Serie A",Bologna,38,11,9,18,9,22,7,5,33,45,-12,1.11,0.87,0.93,0.93,1.18,-0.3158,10.13,2.97,4.84,0.2895,0.2368,0.4737,0.24,0.58,0.18,0.13
2014,"Serie A",Empoli,38,8,18,12,11,17,10,6,46,52,-6,1.11,1.21,1.31,0.93,1.37,-0.1579,13.58,4.42,5.92,0.2105,0.4737,0.3158,0.29,0.45,0.26,0.16
2018,"Serie A","SPAL 2013",38,11,9,18,8,16,14,5,44,56,-12,1.11,1.16,1.14,1.02,1.47,-0.3158,12.18,3.63,5.16,0.2895,0.2368,0.4737,0.21,0.42,0.37,0.13
2019,"Serie A",Sampdoria,38,12,6,20,7,14,17,4,48,65,-17,1.11,1.26,1.29,0.98,1.71,-0.4474,14.71,4.58,5.13,0.3158,0.1579,0.5263,0.18,0.37,0.45,0.11
2020,"Serie A",Genoa,38,10,12,16,7,17,14,7,47,58,-11,1.11,1.24,1.07,1.15,1.53,-0.2895,8.95,3.32,3.39,0.2632,0.3158,0.4211,0.18,0.45,0.37,0.18
2015,"La Liga","Deportivo La Coruna",38,8,18,12,12,10,16,7,45,61,-16,1.11,1.18,1.15,1.03,1.61,-0.4211,11.97,4.13,5.03,0.2105,0.4737,0.3158,0.32,0.26,0.42,0.18
2019,"La Liga",Eibar,38,11,9,18,9,18,11,7,39,56,-17,1.11,1.03,1.11,0.92,1.47,-0.4474,11.24,3.76,4.97,0.2895,0.2368,0.4737,0.24,0.47,0.29,0.18
2019,"La Liga","Real Valladolid",38,9,15,14,7,21,10,5,32,43,-11,1.11,0.84,0.94,0.9,1.13,-0.2895,9.84,3.21,4.24,0.2368,0.3947,0.3684,0.18,0.55,0.26,0.13
2014,"Ligue 1",Toulouse,38,12,6,20,12,10,16,9,43,64,-21,1.11,1.13,1.07,1.06,1.68,-0.5526,11.34,3.39,5.08,0.3158,0.1579,0.5263,0.32,0.26,0.42,0.24
2020,"Ligue 1",Lorient,38,11,9,18,7,14,17,5,50,68,-18,1.11,1.32,1.27,1.04,1.79,-0.4737,11.21,3.71,4.66,0.2895,0.2368,0.4737,0.18,0.37,0.45,0.13
2020,"Ligue 1",Strasbourg,38,11,9,18,13,12,13,7,49,58,-9,1.11,1.29,1.39,0.93,1.53,-0.2368,11.45,3.82,4.34,0.2895,0.2368,0.4737,0.34,0.32,0.34,0.18
2020,"Ligue 1",Reims,38,9,15,14,11,17,10,5,42,50,-8,1.11,1.11,0.87,1.26,1.32,-0.2105,9.55,3.34,3.84,0.2368,0.3947,0.3684,0.29,0.45,0.26,0.13
2015,Bundesliga,Hoffenheim,34,9,10,15,8,16,10,3,39,54,-15,1.09,1.15,1.16,0.99,1.59,-0.4412,11.35,3.94,4.03,0.2647,0.2941,0.4412,0.24,0.47,0.29,0.09
2016,Bundesliga,Wolfsburg,34,10,7,17,9,14,11,7,34,52,-18,1.09,1.00,1.31,0.76,1.53,-0.5294,12.71,4.18,4.94,0.2941,0.2059,0.5000,0.26,0.41,0.32,0.21
2016,Bundesliga,"Mainz 05",34,10,7,17,9,11,14,6,44,55,-11,1.09,1.29,1.25,1.04,1.62,-0.3235,12.18,4.47,5.59,0.2941,0.2059,0.5000,0.26,0.32,0.41,0.18
2014,Bundesliga,"Hannover 96",34,9,10,15,7,17,10,5,40,56,-16,1.09,1.18,1.07,1.1,1.65,-0.4706,11.26,4.24,5.32,0.2647,0.2941,0.4412,0.21,0.50,0.29,0.15
2019,Bundesliga,"Mainz 05",34,11,4,19,9,10,15,9,44,65,-21,1.09,1.29,1.36,0.95,1.91,-0.6176,13.32,4.24,5.12,0.3235,0.1176,0.5588,0.26,0.29,0.44,0.26
2016,"Premier League","Crystal Palace",38,12,5,21,7,13,18,6,50,63,-13,1.08,1.32,1.19,1.1,1.66,-0.3421,11.55,3.61,5.32,0.3158,0.1316,0.5526,0.18,0.34,0.47,0.16
2016,"Premier League",Swansea,38,12,5,21,9,14,15,6,45,70,-25,1.08,1.18,1.04,1.14,1.84,-0.6579,10.66,3.82,5.16,0.3158,0.1316,0.5526,0.24,0.37,0.39,0.16
2014,"Premier League",Leicester,38,11,8,19,8,17,13,6,46,55,-9,1.08,1.21,1.27,0.95,1.45,-0.2368,12.03,3.61,5.55,0.2895,0.2105,0.5000,0.21,0.45,0.34,0.16
2017,"Premier League",Watford,38,11,8,19,9,14,15,6,44,64,-20,1.08,1.16,1.21,0.96,1.68,-0.5263,11.50,3.47,4.84,0.2895,0.2105,0.5000,0.24,0.37,0.39,0.16
2019,"Premier League",Brighton,38,9,14,15,8,18,12,5,39,54,-15,1.08,1.03,1.25,0.82,1.42,-0.3947,12.11,3.71,4.68,0.2368,0.3684,0.3947,0.21,0.47,0.32,0.13
2020,"Premier League",Brighton,38,9,14,15,12,15,11,6,40,46,-6,1.08,1.05,1.42,0.74,1.21,-0.1579,12.82,3.76,5.76,0.2368,0.3684,0.3947,0.32,0.39,0.29,0.16
2016,"Serie A",Bologna,38,11,8,19,8,18,12,5,40,58,-18,1.08,1.05,0.96,1.1,1.53,-0.4737,11.08,3.82,4.11,0.2895,0.2105,0.5000,0.21,0.47,0.32,0.13
2014,"Serie A",Udinese,38,10,11,17,6,20,12,3,43,56,-13,1.08,1.13,0.92,1.23,1.47,-0.3421,11.21,3.18,4.74,0.2632,0.2895,0.4474,0.16,0.53,0.32,0.08
2017,"Serie A",Genoa,38,11,8,19,7,22,9,6,33,43,-10,1.08,0.87,1.11,0.78,1.13,-0.2632,10.92,3.29,4.82,0.2895,0.2105,0.5000,0.18,0.58,0.24,0.16
2018,"Serie A",Fiorentina,38,8,17,13,5,24,9,3,47,45,2,1.08,1.24,1.42,0.87,1.18,0.0526,15.37,4.76,6.21,0.2105,0.4474,0.3421,0.13,0.63,0.24,0.08
2018,"Serie A","Parma Calcio 1913",38,10,11,17,12,19,7,7,41,61,-20,1.08,1.08,1.08,1,1.61,-0.5263,9.32,2.92,3.79,0.2632,0.2895,0.4474,0.32,0.50,0.18,0.18
2018,"Serie A",Cagliari,38,10,11,17,12,10,16,7,36,54,-18,1.08,0.95,1.08,0.88,1.42,-0.4737,11.42,3.34,5.00,0.2632,0.2895,0.4474,0.32,0.26,0.42,0.18
2020,"Serie A",Bologna,38,10,11,17,12,8,18,7,51,65,-14,1.08,1.34,1.51,0.89,1.71,-0.3684,13.08,4.74,5.29,0.2632,0.2895,0.4474,0.32,0.21,0.47,0.18
2014,"La Liga",Elche,38,11,8,19,11,14,13,9,35,62,-27,1.08,0.92,1.04,0.88,1.63,-0.7105,10.71,3.34,4.39,0.2895,0.2105,0.5000,0.29,0.37,0.34,0.24
2018,"La Liga","Real Valladolid",38,10,11,17,6,18,14,5,32,51,-19,1.08,0.84,1.1,0.77,1.34,-0.5000,10.84,3.50,5.29,0.2632,0.2895,0.4474,0.16,0.47,0.37,0.13
2018,"La Liga","Celta Vigo",38,10,11,17,10,13,15,5,53,62,-9,1.08,1.39,1.28,1.09,1.63,-0.2368,11.87,4.24,4.29,0.2632,0.2895,0.4474,0.26,0.34,0.39,0.13
2019,"La Liga","Real Betis",38,10,11,17,5,21,12,5,48,60,-12,1.08,1.26,1.29,0.98,1.58,-0.3158,12.58,4.21,4.87,0.2632,0.2895,0.4474,0.13,0.55,0.32,0.13
2020,"La Liga",Levante,38,9,14,15,8,20,10,5,46,57,-11,1.08,1.21,1.08,1.12,1.50,-0.2895,10.08,3.47,4.55,0.2368,0.3684,0.3947,0.21,0.53,0.26,0.13
2017,"Ligue 1",Angers,38,9,14,15,9,15,14,5,42,52,-10,1.08,1.11,1.21,0.91,1.37,-0.2632,12.16,4.11,4.45,0.2368,0.3684,0.3947,0.24,0.39,0.37,0.13
2018,"Ligue 1",Bordeaux,38,10,11,17,8,18,12,6,34,42,-8,1.08,0.89,0.98,0.91,1.11,-0.2105,11.26,3.61,4.42,0.2632,0.2895,0.4474,0.21,0.47,0.32,0.16
2020,"Ligue 1",Brest,38,11,8,19,13,10,15,9,50,66,-16,1.08,1.32,1.2,1.09,1.74,-0.4211,11.82,4.18,4.76,0.2895,0.2105,0.5000,0.34,0.26,0.39,0.24
2019,"Ligue 1",Dijon,28,7,9,12,3,18,7,2,27,37,-10,1.07,0.96,0.98,0.99,1.32,-0.3571,12.00,3.68,4.36,0.2500,0.3214,0.4286,0.11,0.64,0.25,0.07
2019,"Ligue 1",Saint-Etienne,28,8,6,14,5,9,14,3,29,45,-16,1.07,1.04,1.06,0.98,1.61,-0.5714,10.93,3.64,5.00,0.2857,0.2143,0.5000,0.18,0.32,0.50,0.11
2015,Bundesliga,"Eintracht Frankfurt",34,9,9,16,5,18,11,4,34,52,-18,1.06,1.00,0.97,1.03,1.53,-0.5294,10.74,3.94,4.74,0.2647,0.2647,0.4706,0.15,0.53,0.32,0.12
2014,Bundesliga,"VfB Stuttgart",34,9,9,16,5,18,11,4,42,60,-18,1.06,1.24,1.34,0.92,1.76,-0.5294,12.09,4.06,5.44,0.2647,0.2647,0.4706,0.15,0.53,0.32,0.12
2017,Bundesliga,"Mainz 05",34,9,9,16,6,18,10,5,38,52,-14,1.06,1.12,0.93,1.2,1.53,-0.4118,12.18,4.29,4.35,0.2647,0.2647,0.4706,0.18,0.53,0.29,0.15
2017,Bundesliga,Freiburg,34,8,12,14,5,17,12,4,32,56,-24,1.06,0.94,1.09,0.87,1.65,-0.7059,11.21,3.47,3.74,0.2353,0.3529,0.4118,0.15,0.50,0.35,0.12
2018,Bundesliga,Freiburg,34,8,12,14,9,15,10,6,46,61,-15,1.06,1.35,1.21,1.12,1.79,-0.4412,12.50,4.79,4.44,0.2353,0.3529,0.4118,0.26,0.44,0.29,0.18
2019,Bundesliga,Augsburg,34,9,9,16,10,15,9,6,45,63,-18,1.06,1.32,1.29,1.03,1.85,-0.5294,10.68,3.97,3.91,0.2647,0.2647,0.4706,0.29,0.44,0.26,0.18
2019,Bundesliga,"FC Cologne",34,10,6,18,11,4,19,7,51,69,-18,1.06,1.50,1.45,1.03,2.03,-0.5294,12.21,4.47,5.15,0.2941,0.1765,0.5294,0.32,0.12,0.56,0.21
2020,Bundesliga,Augsburg,34,10,6,18,8,13,13,5,36,54,-18,1.06,1.06,1.06,1,1.59,-0.5294,9.91,3.32,3.56,0.2941,0.1765,0.5294,0.24,0.38,0.38,0.15
2016,"Premier League",Burnley,38,11,7,20,7,23,8,7,39,55,-16,1.05,1.03,0.94,1.1,1.45,-0.4211,10.26,3.16,3.92,0.2895,0.1842,0.5263,0.18,0.61,0.21,0.18
2016,"Premier League",Watford,38,11,7,20,9,12,17,6,40,68,-28,1.05,1.05,0.95,1.1,1.79,-0.7368,11.11,3.76,4.32,0.2895,0.1842,0.5263,0.24,0.32,0.45,0.16
2017,"Premier League",Brighton,38,9,13,16,7,19,12,5,34,54,-20,1.05,0.89,0.98,0.91,1.42,-0.5263,10.05,3.13,4.29,0.2368,0.3421,0.4211,0.18,0.50,0.32,0.13
2018,"Premier League",Burnley,38,11,7,20,9,17,12,8,45,68,-23,1.05,1.18,1.18,1.01,1.79,-0.6053,9.45,3.05,3.68,0.2895,0.1842,0.5263,0.24,0.45,0.32,0.21
2015,"Serie A",Sampdoria,38,10,10,18,6,16,16,5,48,61,-13,1.05,1.26,1.07,1.18,1.61,-0.3421,11.37,4.05,4.53,0.2632,0.2632,0.4737,0.16,0.42,0.42,0.13
2017,"Serie A",Udinese,38,12,4,22,9,14,15,8,48,63,-15,1.05,1.26,1.19,1.06,1.66,-0.3947,11.58,3.63,4.66,0.3158,0.1053,0.5789,0.24,0.37,0.39,0.21
2017,"Serie A",Chievo,38,10,10,18,3,24,11,2,36,59,-23,1.05,0.95,0.91,1.05,1.55,-0.6053,10.24,3.53,3.87,0.2632,0.2632,0.4737,0.08,0.63,0.29,0.05
2019,"Serie A",Torino,38,11,7,20,11,11,16,7,46,68,-22,1.05,1.21,1.14,1.06,1.79,-0.5789,11.76,4.03,4.74,0.2895,0.1842,0.5263,0.29,0.29,0.42,0.18
2020,"Serie A",Fiorentina,38,9,13,16,10,20,8,6,47,59,-12,1.05,1.24,1.22,1.02,1.55,-0.3158,9.82,3.26,4.42,0.2368,0.3421,0.4211,0.26,0.53,0.21,0.16
2020,"Serie A",Udinese,38,10,10,18,8,17,13,6,42,58,-16,1.05,1.11,1.27,0.87,1.53,-0.4211,10.92,3.47,4.29,0.2632,0.2632,0.4737,0.21,0.45,0.34,0.16
2015,"Ligue 1",Toulouse,38,9,13,16,9,18,11,4,45,55,-10,1.05,1.18,1.32,0.89,1.45,-0.2632,11.29,4.16,4.50,0.2368,0.3421,0.4211,0.24,0.47,0.29,0.11
2020,"Ligue 1",Nantes,38,9,13,16,12,10,16,6,47,55,-8,1.05,1.24,1.27,0.97,1.45,-0.2105,10.84,3.47,4.68,0.2368,0.3421,0.4211,0.32,0.26,0.42,0.16
2015,"La Liga",Granada,38,10,9,19,9,12,17,7,46,69,-23,1.03,1.21,1.09,1.11,1.82,-0.6053,11.34,3.45,3.89,0.2632,0.2368,0.5000,0.24,0.32,0.45,0.18
2016,"La Liga","Real Betis",38,10,9,19,9,18,11,7,41,64,-23,1.03,1.08,0.94,1.15,1.68,-0.6053,11.63,3.97,4.45,0.2632,0.2368,0.5000,0.24,0.47,0.29,0.18
2016,"La Liga","Las Palmas",38,10,9,19,10,12,16,5,53,74,-21,1.03,1.39,1.07,1.3,1.95,-0.5526,11.55,4.82,4.71,0.2632,0.2368,0.5000,0.26,0.32,0.42,0.13
2019,"La Liga",Alaves,38,10,9,19,2,21,15,1,34,59,-25,1.03,0.89,1,0.89,1.55,-0.6579,8.26,2.74,3.61,0.2632,0.2368,0.5000,0.05,0.55,0.39,0.03
2015,"Ligue 1",Reims,38,10,9,19,9,14,15,6,44,57,-13,1.03,1.16,1.13,1.03,1.50,-0.3421,11.47,4.18,4.63,0.2632,0.2368,0.5000,0.24,0.37,0.39,0.16
2016,"Ligue 1",Montpellier,38,10,9,19,10,11,17,6,48,66,-18,1.03,1.26,1.16,1.09,1.74,-0.4737,13.21,4.16,5.05,0.2632,0.2368,0.5000,0.26,0.29,0.45,0.16
2015,"Premier League",Sunderland,38,9,12,17,8,16,14,4,48,62,-14,1.03,1.26,1.07,1.18,1.63,-0.3684,11.55,3.74,4.21,0.2368,0.3158,0.4474,0.21,0.42,0.37,0.11
